[14/2/2022 12:26:5] !emotespells
[14/2/2022 12:53:0] !emotespells
[14/2/2022 13:4:10] !emotespells
[14/2/2022 13:4:12] !emotespells on
[19/2/2022 16:0:52] 
[19/2/2022 16:1:26] 
[19/2/2022 16:2:0] 
[19/2/2022 16:2:34] 
[19/2/2022 16:3:8] 
[19/2/2022 16:3:20] 
[19/2/2022 16:3:22] 
[19/2/2022 16:3:56] 
[19/2/2022 16:4:0] 
[19/2/2022 16:4:11] 
[19/2/2022 16:4:22] 
[19/2/2022 16:4:32] 
[19/2/2022 16:4:44] 
[19/2/2022 16:4:54] 
[19/2/2022 16:5:28] 
[19/2/2022 16:6:1] 
[19/2/2022 16:6:35] 
[19/2/2022 16:7:9] 
[19/2/2022 16:7:42] 
[19/2/2022 16:7:57] 
[19/2/2022 16:8:31] 
[19/2/2022 16:9:5] 
[19/2/2022 16:9:39] 
[19/2/2022 16:10:13] 
[19/2/2022 16:10:47] 
[19/2/2022 16:11:21] 
[19/2/2022 16:11:55] 
[19/2/2022 16:12:29] 
[19/2/2022 16:12:45] 
[19/2/2022 16:12:56] 
[19/2/2022 16:13:6] 
[19/2/2022 16:13:17] 
[19/2/2022 16:13:28] 
[19/2/2022 16:13:39] 
[19/2/2022 16:13:51] 
[19/2/2022 16:14:3] 
[19/2/2022 16:14:38] 
[19/2/2022 16:14:47] 
[19/2/2022 16:14:58] 
[19/2/2022 16:15:24] 
[19/2/2022 16:15:58] 
[19/2/2022 16:16:10] 
[19/2/2022 16:16:21] 
[19/2/2022 16:16:55] 
[19/2/2022 16:17:23] 
[19/2/2022 16:17:34] 
[19/2/2022 16:17:44] 
[19/2/2022 16:17:58] 
[19/2/2022 16:18:31] 
[19/2/2022 16:18:59] 
[19/2/2022 16:19:11] 
[19/2/2022 16:19:45] 
[19/2/2022 16:20:19] 
[19/2/2022 16:20:53] 
[19/2/2022 16:21:27] 
[19/2/2022 16:22:1] 
[19/2/2022 16:22:35] 
[19/2/2022 16:23:9] 
[19/2/2022 16:23:12] 
[19/2/2022 16:23:46] 
[19/2/2022 16:24:20] 
[19/2/2022 16:24:50] 
[19/2/2022 16:25:24] 
[19/2/2022 16:25:32] 
[19/2/2022 16:26:6] 
[19/2/2022 16:26:40] 
[19/2/2022 16:26:56] 
[19/2/2022 16:27:9] 
[19/2/2022 16:27:20] 
[19/2/2022 16:27:44] 
[19/2/2022 16:27:55] 
[19/2/2022 16:28:15] 
[19/2/2022 16:28:26] 
[19/2/2022 16:28:36] 
[19/2/2022 16:29:3] 
[19/2/2022 16:29:13] 
[19/2/2022 16:29:25] 
[19/2/2022 16:29:59] 
[19/2/2022 16:30:32] 
[19/2/2022 16:31:5] 
[19/2/2022 16:31:40] 
[19/2/2022 16:32:14] 
[19/2/2022 16:32:48] 
[19/2/2022 16:33:22] 
[19/2/2022 16:33:56] 
[19/2/2022 16:34:30] 
[19/2/2022 16:35:4] 
[19/2/2022 16:35:38] 
[19/2/2022 16:36:12] 
[19/2/2022 16:36:46] 
[19/2/2022 16:37:20] 
[19/2/2022 16:37:54] 
[19/2/2022 16:38:28] 
[19/2/2022 16:39:2] 
[19/2/2022 16:39:36] 
[19/2/2022 16:40:9] 
[19/2/2022 16:40:44] 
[19/2/2022 16:41:18] 
[19/2/2022 16:41:52] 
[19/2/2022 16:42:26] 
[19/2/2022 16:43:0] 
[19/2/2022 16:43:34] 
[19/2/2022 16:44:8] 
[19/2/2022 16:44:42] 
[19/2/2022 16:45:16] 
[19/2/2022 16:45:46] 
[19/2/2022 16:45:59] 
[19/2/2022 16:46:33] 
[19/2/2022 16:46:35] 
[19/2/2022 16:46:48] 
[19/2/2022 16:47:22] 
[19/2/2022 16:47:56] 
[19/2/2022 16:48:3] 
[19/2/2022 16:48:36] 
[19/2/2022 16:49:10] 
[19/2/2022 16:49:44] 
[19/2/2022 16:50:18] 
[19/2/2022 16:50:31] 
[19/2/2022 16:50:42] 
[19/2/2022 16:50:54] 
[19/2/2022 16:51:5] 
[19/2/2022 16:51:16] 
[19/2/2022 16:51:27] 
[19/2/2022 16:52:2] 
[19/2/2022 16:52:36] 
[19/2/2022 16:53:10] 
[19/2/2022 16:53:44] 
[19/2/2022 16:54:18] 
[19/2/2022 16:54:52] 
[19/2/2022 16:55:26] 
[19/2/2022 16:56:0] 
[19/2/2022 16:56:9] 
[19/2/2022 16:56:20] 
[19/2/2022 16:56:54] 
[19/2/2022 16:57:7] 
[19/2/2022 16:57:18] 
[19/2/2022 16:57:30] 
[19/2/2022 16:57:42] 
[19/2/2022 16:57:52] 
[19/2/2022 16:58:5] 
[19/2/2022 16:58:16] 
[19/2/2022 16:58:40] 
[19/2/2022 16:58:50] 
[19/2/2022 16:59:4] 
[19/2/2022 16:59:15] 
[19/2/2022 16:59:26] 
[19/2/2022 16:59:37] 
[19/2/2022 16:59:48] 
[19/2/2022 17:0:10] 
[19/2/2022 17:0:21] 
[19/2/2022 17:0:32] 
[19/2/2022 17:0:43] 
[19/2/2022 17:0:54] 
[19/2/2022 17:1:9] 
[19/2/2022 17:1:43] 
[19/2/2022 17:2:17] 
[19/2/2022 17:2:50] 
[19/2/2022 17:3:24] 
[19/2/2022 17:3:58] 
[19/2/2022 17:4:12] 
[19/2/2022 17:4:23] 
[19/2/2022 17:4:34] 
[19/2/2022 17:4:45] 
[19/2/2022 17:4:58] 
[19/2/2022 17:5:9] 
[19/2/2022 17:5:20] 
[19/2/2022 17:5:36] 
[19/2/2022 17:6:9] 
[19/2/2022 17:6:28] 
[19/2/2022 17:6:45] 
[19/2/2022 17:7:11] 
[19/2/2022 17:7:22] 
[19/2/2022 17:7:34] 
[19/2/2022 17:8:8] 
[19/2/2022 17:8:41] 
[19/2/2022 17:9:16] 
[19/2/2022 17:9:50] 
[19/2/2022 17:10:3] 
[19/2/2022 17:10:22] 
[19/2/2022 17:10:32] 
[19/2/2022 17:10:54] 
[19/2/2022 17:11:5] 
[19/2/2022 17:11:33] 
[19/2/2022 17:11:45] 
[19/2/2022 17:11:55] 
[19/2/2022 17:12:29] 
[19/2/2022 17:12:40] 
[19/2/2022 17:13:13] 
[19/2/2022 17:13:29] 
[19/2/2022 17:13:41] 
[19/2/2022 17:13:52] 
[19/2/2022 17:14:25] 
[19/2/2022 17:14:59] 
[19/2/2022 17:15:7] 
[19/2/2022 17:15:14] 
[19/2/2022 17:15:18] 
[19/2/2022 17:15:30] 
[19/2/2022 17:15:41] 
[19/2/2022 17:15:52] 
[19/2/2022 17:16:3] 
[19/2/2022 17:16:37] 
[19/2/2022 17:17:11] 
[19/2/2022 17:17:45] 
[19/2/2022 17:18:19] 
[19/2/2022 17:18:29] 
[19/2/2022 17:19:2] 
[19/2/2022 17:19:36] 
[19/2/2022 17:20:10] 
[19/2/2022 17:20:21] 
[19/2/2022 17:20:32] 
[19/2/2022 17:21:6] 
[19/2/2022 17:21:40] 
[19/2/2022 17:22:14] 
[19/2/2022 17:22:48] 
[19/2/2022 17:23:9] 
[19/2/2022 17:23:20] 
[19/2/2022 17:23:31] 
[19/2/2022 17:23:42] 
[19/2/2022 17:23:53] 
[19/2/2022 17:24:3] 
[19/2/2022 17:24:14] 
[19/2/2022 17:24:25] 
[19/2/2022 17:24:59] 
[19/2/2022 17:25:33] 
[19/2/2022 17:26:7] 
[19/2/2022 17:26:40] 
[19/2/2022 17:27:14] 
[19/2/2022 17:27:48] 
[19/2/2022 17:28:22] 
[19/2/2022 17:28:56] 
[19/2/2022 17:29:29] 
[19/2/2022 17:30:4] 
[19/2/2022 17:30:38] 
[19/2/2022 17:31:12] 
[19/2/2022 17:31:46] 
[19/2/2022 17:31:54] 
[19/2/2022 17:32:5] 
[19/2/2022 17:32:16] 
[19/2/2022 17:32:27] 
[19/2/2022 17:32:37] 
[19/2/2022 17:32:48] 
[19/2/2022 17:32:59] 
[19/2/2022 17:33:10] 
[19/2/2022 17:33:21] 
[19/2/2022 17:33:32] 
[19/2/2022 17:34:2] 
[19/2/2022 17:34:12] 
[19/2/2022 17:34:24] 
[19/2/2022 17:34:58] 
[19/2/2022 17:35:32] 
[19/2/2022 17:36:6] 
[19/2/2022 17:36:40] 
[19/2/2022 17:37:14] 
[19/2/2022 17:37:48] 
[19/2/2022 17:38:21] 
[19/2/2022 17:38:55] 
[19/2/2022 17:39:30] 
[19/2/2022 17:40:4] 
[19/2/2022 17:40:20] 
[19/2/2022 17:40:31] 
[19/2/2022 17:40:39] 
[19/2/2022 17:40:42] 
[19/2/2022 17:40:55] 
[19/2/2022 17:41:0] 
[19/2/2022 17:41:2] 
[19/2/2022 17:41:6] 
[19/2/2022 17:41:16] 
[19/2/2022 17:41:18] 
[19/2/2022 17:41:29] 
[19/2/2022 17:41:39] 
[19/2/2022 17:41:50] 
[19/2/2022 17:42:16] 
[19/2/2022 17:42:36] 
[19/2/2022 17:43:10] 
[19/2/2022 17:43:44] 
[19/2/2022 17:44:18] 
[19/2/2022 17:44:52] 
[19/2/2022 17:45:26] 
[19/2/2022 17:46:0] 
[19/2/2022 17:46:34] 
[19/2/2022 17:47:8] 
[19/2/2022 17:47:27] 
[19/2/2022 17:47:38] 
[19/2/2022 17:47:49] 
[19/2/2022 17:48:7] 
[19/2/2022 17:48:22] 
[19/2/2022 17:48:39] 
[19/2/2022 17:48:50] 
[19/2/2022 17:49:0] 
[19/2/2022 17:49:11] 
[19/2/2022 17:49:24] 
[19/2/2022 17:49:35] 
[19/2/2022 17:49:46] 
[19/2/2022 17:49:56] 
[19/2/2022 17:50:6] 
[19/2/2022 17:50:17] 
[19/2/2022 17:50:39] 
[19/2/2022 17:50:50] 
[19/2/2022 17:51:24] 
[19/2/2022 17:51:57] 
[19/2/2022 17:52:32] 
[19/2/2022 17:52:38] 
[19/2/2022 17:52:50] 
[19/2/2022 17:53:1] 
[19/2/2022 17:53:11] 
[19/2/2022 17:53:22] 
[19/2/2022 17:53:32] 
[19/2/2022 17:53:47] 
[19/2/2022 17:53:57] 
[19/2/2022 17:54:7] 
[19/2/2022 17:54:17] 
[19/2/2022 17:54:28] 
[19/2/2022 17:54:39] 
[19/2/2022 17:54:50] 
[19/2/2022 17:55:2] 
[19/2/2022 17:55:14] 
[19/2/2022 17:55:24] 
[19/2/2022 17:55:53] 
[19/2/2022 17:55:55] 
[19/2/2022 17:55:57] 
[19/2/2022 17:55:59] 
[19/2/2022 17:56:2] 
[19/2/2022 17:56:37] 
[19/2/2022 17:57:10] 
[19/2/2022 17:57:44] 
[19/2/2022 17:58:18] 
[19/2/2022 17:58:52] 
[19/2/2022 17:59:1] 
[19/2/2022 17:59:34] 
[19/2/2022 18:0:8] 
[19/2/2022 18:0:42] 
[19/2/2022 18:1:16] 
[19/2/2022 18:1:50] 
[19/2/2022 18:2:24] 
[19/2/2022 18:2:58] 
[19/2/2022 18:3:32] 
[19/2/2022 18:4:5] 
[19/2/2022 18:4:40] 
[19/2/2022 18:5:14] 
[19/2/2022 18:5:19] 
[19/2/2022 18:5:22] 
[19/2/2022 18:5:24] 
[19/2/2022 18:5:26] 
[19/2/2022 18:6:1] 
[19/2/2022 18:6:35] 
[19/2/2022 18:7:9] 
[19/2/2022 18:7:39] 
[19/2/2022 18:7:44] 
[19/2/2022 18:7:48] 
[19/2/2022 18:7:52] 
[19/2/2022 18:7:56] 
[19/2/2022 18:8:1] 
[19/2/2022 18:8:4] 
[19/2/2022 18:8:38] 
[19/2/2022 18:9:11] 
[19/2/2022 18:9:45] 
[19/2/2022 18:10:19] 
[19/2/2022 18:10:53] 
[19/2/2022 18:11:26] 
[19/2/2022 18:12:0] 
[19/2/2022 18:12:35] 
[19/2/2022 18:13:8] 
[19/2/2022 18:13:42] 
[19/2/2022 18:14:16] 
[19/2/2022 18:14:50] 
[19/2/2022 18:15:24] 
[19/2/2022 18:15:58] 
[19/2/2022 18:16:32] 
[19/2/2022 18:17:6] 
[19/2/2022 18:17:40] 
[19/2/2022 18:18:14] 
[19/2/2022 18:18:48] 
[19/2/2022 18:19:22] 
[19/2/2022 18:19:56] 
[19/2/2022 18:20:30] 
[19/2/2022 18:21:4] 
[19/2/2022 18:21:38] 
[19/2/2022 18:22:12] 
[19/2/2022 18:22:46] 
[19/2/2022 18:23:20] 
[19/2/2022 18:23:54] 
[19/2/2022 18:24:28] 
[19/2/2022 18:25:2] 
[19/2/2022 18:25:36] 
[19/2/2022 18:26:10] 
[19/2/2022 18:26:44] 
[19/2/2022 18:27:18] 
[19/2/2022 18:27:52] 
[19/2/2022 18:28:27] 
[19/2/2022 18:29:1] 
[19/2/2022 18:29:35] 
[19/2/2022 18:30:9] 
[19/2/2022 18:30:42] 
[19/2/2022 18:31:16] 
[19/2/2022 18:31:50] 
[19/2/2022 18:32:24] 
[19/2/2022 18:32:58] 
[19/2/2022 18:33:32] 
[19/2/2022 18:34:5] 
[19/2/2022 18:34:39] 
[19/2/2022 18:35:13] 
[19/2/2022 18:35:47] 
[19/2/2022 18:36:21] 
[19/2/2022 18:36:55] 
[19/2/2022 18:37:29] 
[19/2/2022 18:38:4] 
[19/2/2022 18:38:38] 
[19/2/2022 18:39:12] 
[19/2/2022 18:39:46] 
[19/2/2022 18:40:20] 
[19/2/2022 18:40:54] 
[19/2/2022 18:41:28] 
[19/2/2022 18:42:2] 
[19/2/2022 18:42:36] 
[19/2/2022 18:43:10] 
[19/2/2022 18:43:44] 
[19/2/2022 18:44:18] 
[19/2/2022 18:44:52] 
[19/2/2022 18:45:26] 
[19/2/2022 18:46:0] 
[19/2/2022 18:46:34] 
[19/2/2022 18:47:8] 
[19/2/2022 18:47:41] 
[19/2/2022 18:48:15] 
[19/2/2022 18:48:49] 
[19/2/2022 18:49:23] 
[19/2/2022 18:49:58] 
[19/2/2022 18:50:32] 
[19/2/2022 18:51:6] 
[19/2/2022 18:51:39] 
[19/2/2022 18:52:13] 
[19/2/2022 18:52:47] 
[19/2/2022 18:53:21] 
[19/2/2022 18:53:55] 
[19/2/2022 18:54:29] 
[19/2/2022 18:55:3] 
[19/2/2022 18:55:38] 
[19/2/2022 18:56:11] 
[19/2/2022 18:56:45] 
[19/2/2022 18:57:19] 
[19/2/2022 18:57:53] 
[19/2/2022 18:58:27] 
[19/2/2022 18:59:0] 
[19/2/2022 18:59:34] 
[19/2/2022 19:0:8] 
[19/2/2022 19:0:42] 
