[26/2/2022 19:52:23] !emotespells
[26/2/2022 19:52:32] !emotespells on
[27/2/2022 20:19:27] !guildpoints
[28/2/2022 11:57:16] !buyhouse
[28/2/2022 14:55:22] !frags
[3/3/2022 16:26:35] 
[3/3/2022 16:26:39] 
[3/3/2022 16:26:41] 
[3/3/2022 16:26:59] 
[3/3/2022 16:27:7] 
[3/3/2022 16:27:16] 
[3/3/2022 16:27:20] 
[3/3/2022 16:27:22] 
[3/3/2022 16:27:26] 
[3/3/2022 16:27:33] 
[3/3/2022 16:27:35] 
[3/3/2022 16:27:39] 
[3/3/2022 16:27:44] 
[3/3/2022 16:27:46] 
[3/3/2022 16:27:49] 
[3/3/2022 16:27:51] 
[3/3/2022 16:27:54] 
[3/3/2022 16:27:59] 
[3/3/2022 16:28:8] 
[3/3/2022 16:28:18] 
[3/3/2022 16:28:21] 
[3/3/2022 16:28:26] 
[3/3/2022 16:28:28] 
[3/3/2022 16:28:35] 
[3/3/2022 16:28:37] 
[3/3/2022 16:28:41] 
[3/3/2022 16:28:53] 
[3/3/2022 16:29:2] 
[3/3/2022 16:29:4] 
[3/3/2022 16:29:7] 
[3/3/2022 16:29:13] 
[3/3/2022 16:29:20] 
[3/3/2022 16:29:33] 
[3/3/2022 16:29:38] 
[3/3/2022 16:29:40] 
[3/3/2022 16:29:48] 
[3/3/2022 16:29:50] 
[3/3/2022 16:29:52] 
[3/3/2022 16:29:55] 
[3/3/2022 16:30:7] 
[3/3/2022 16:30:11] 
[3/3/2022 16:30:19] 
[3/3/2022 16:30:21] 
[3/3/2022 16:30:24] 
[3/3/2022 16:30:26] 
[3/3/2022 16:30:36] 
[3/3/2022 16:30:38] 
[3/3/2022 16:30:40] 
[3/3/2022 16:30:54] 
[3/3/2022 16:31:3] 
[3/3/2022 16:31:8] 
[3/3/2022 16:31:12] 
[3/3/2022 16:31:17] 
[3/3/2022 16:31:20] 
[3/3/2022 16:31:22] 
[3/3/2022 16:31:28] 
[3/3/2022 16:31:30] 
[3/3/2022 16:31:44] 
[3/3/2022 16:31:48] 
[3/3/2022 16:31:53] 
[3/3/2022 16:31:57] 
[3/3/2022 16:32:2] 
[3/3/2022 16:32:4] 
[3/3/2022 16:32:11] 
[3/3/2022 16:32:13] 
[3/3/2022 16:32:15] 
[3/3/2022 16:32:21] 
[3/3/2022 16:32:26] 
[3/3/2022 16:32:42] 
[3/3/2022 16:32:44] 
[3/3/2022 16:32:49] 
[3/3/2022 16:32:51] 
[3/3/2022 16:32:54] 
[3/3/2022 16:32:56] 
[3/3/2022 16:33:5] 
[3/3/2022 16:33:14] 
[3/3/2022 16:33:16] 
[3/3/2022 16:33:18] 
[3/3/2022 16:33:32] 
[3/3/2022 16:33:41] 
[3/3/2022 16:33:47] 
[3/3/2022 16:33:59] 
[3/3/2022 16:34:5] 
[3/3/2022 16:34:8] 
[3/3/2022 16:34:11] 
[3/3/2022 16:34:19] 
[3/3/2022 16:34:21] 
[3/3/2022 16:34:36] 
[3/3/2022 16:34:40] 
[3/3/2022 16:34:43] 
[3/3/2022 16:34:47] 
[3/3/2022 16:34:49] 
[3/3/2022 16:35:4] 
[3/3/2022 16:35:8] 
[3/3/2022 16:35:10] 
[3/3/2022 16:35:15] 
[3/3/2022 16:35:17] 
[3/3/2022 16:35:25] 
[3/3/2022 16:35:27] 
[3/3/2022 16:35:34] 
[3/3/2022 16:35:36] 
[3/3/2022 16:35:39] 
[3/3/2022 16:35:44] 
[3/3/2022 16:35:51] 
[3/3/2022 16:36:1] 
[3/3/2022 16:36:3] 
[3/3/2022 16:36:5] 
[3/3/2022 16:36:8] 
[3/3/2022 16:36:10] 
[3/3/2022 16:36:14] 
[3/3/2022 16:36:23] 
[3/3/2022 16:36:25] 
