[3/6/2022 15:22:34] !aol
[3/6/2022 15:29:53] !aol
[3/6/2022 16:12:22] !aol
[4/6/2022 10:57:27] !guildpoints
[4/6/2022 11:0:21] !guildpoints
[4/6/2022 13:7:44] !aol
[4/6/2022 13:59:25] !aol
[4/6/2022 14:52:6] !aol
[4/6/2022 15:16:52] !aol
[4/6/2022 16:45:54] !serverinfo
[5/6/2022 16:32:29] !emotespells on
[5/6/2022 16:36:26] !emotespells on
[5/6/2022 16:40:28] !emotespells on
[5/6/2022 16:44:23] !emotespells on
[5/6/2022 16:48:6] !emotespells on
[5/6/2022 16:52:13] !emotespells on
[5/6/2022 16:55:51] !emotespells on
[5/6/2022 16:59:52] !emotespells on
[5/6/2022 17:3:48] !emotespells on
[5/6/2022 17:7:36] !emotespells on
[5/6/2022 17:11:32] !emotespells on
[5/6/2022 17:15:28] !emotespells on
[5/6/2022 17:21:17] !emotespells on
[5/6/2022 17:24:20] !emotespells on
[5/6/2022 17:27:31] !emotespells on
[5/6/2022 17:31:43] !emotespells on
[5/6/2022 17:35:28] !emotespells on
[5/6/2022 17:39:23] !emotespells on
[5/6/2022 17:42:46] !emotespells on
[5/6/2022 17:46:47] !emotespells on
[5/6/2022 17:50:4] !emotespells on
[5/6/2022 17:54:6] !emotespells on
[5/6/2022 17:57:56] !emotespells on
[5/6/2022 18:2:54] !emotespells on
[5/6/2022 18:6:19] !emotespells on
[5/6/2022 18:9:50] !emotespells on
[5/6/2022 18:13:36] !aol
[5/6/2022 18:13:48] !emotespells on
[5/6/2022 19:25:16] !emotespells on
[5/6/2022 19:39:35] !aol
[5/6/2022 19:39:50] !emotespells on
[5/6/2022 20:4:43] !aol
[5/6/2022 20:23:31] !aol
[5/6/2022 20:56:29] !emotespells on
[5/6/2022 21:34:46] !emotespells on
[5/6/2022 22:14:44] !emotespells on
[5/6/2022 22:47:12] !emotespells on
[5/6/2022 23:29:46] !emotespells on
[6/6/2022 0:6:59] !emotespells on
[6/6/2022 0:44:31] !emotespells on
[6/6/2022 1:27:41] !emotespells on
[6/6/2022 1:59:3] !emotespells on
[6/6/2022 2:35:50] !emotespells on
[6/6/2022 3:7:15] !emotespells on
[6/6/2022 3:42:39] !emotespells on
[6/6/2022 4:20:51] !emotespells on
[6/6/2022 4:58:17] !emotespells on
[6/6/2022 5:3:48] !aol
[6/6/2022 5:4:9] !emotespells on
[6/6/2022 8:47:31] !emotespells on
[6/6/2022 9:54:11] !emotespells on
[6/6/2022 9:57:58] !emotespells on
[6/6/2022 10:1:43] !emotespells on
[6/6/2022 10:4:0] !emotespells on
[6/6/2022 10:7:1] !emotespells on
[6/6/2022 10:10:5] !emotespells on
[6/6/2022 11:5:28] !emotespells on
[6/6/2022 11:9:8] !emotespells on
[6/6/2022 11:12:51] !emotespells on
[6/6/2022 11:16:20] !emotespells on
[6/6/2022 11:20:14] !emotespells on
[6/6/2022 11:24:11] !emotespells on
[6/6/2022 11:28:4] !emotespells on
[6/6/2022 11:31:52] !emotespells on
[6/6/2022 11:35:42] !emotespells on
[6/6/2022 11:39:33] !emotespells on
[6/6/2022 11:43:10] !emotespells on
[6/6/2022 11:47:13] !emotespells on
[6/6/2022 11:50:59] !emotespells on
[6/6/2022 11:54:39] !emotespells on
[6/6/2022 11:58:39] !emotespells on
[6/6/2022 12:2:26] !emotespells on
[6/6/2022 12:6:20] !emotespells on
[6/6/2022 12:10:38] !emotespells on
[6/6/2022 12:15:41] !emotespells on
[6/6/2022 12:19:16] !emotespells on
[6/6/2022 12:22:55] !emotespells on
[6/6/2022 12:26:6] !emotespells on
[6/6/2022 12:29:45] !emotespells on
[6/6/2022 12:33:24] !emotespells on
[6/6/2022 12:37:15] !emotespells on
[6/6/2022 12:41:21] !emotespells on
[6/6/2022 12:45:6] !emotespells on
[6/6/2022 12:48:54] !emotespells on
[6/6/2022 12:52:30] !emotespells on
[6/6/2022 12:56:34] !emotespells on
[6/6/2022 13:0:31] !emotespells on
[6/6/2022 13:4:20] !emotespells on
[6/6/2022 13:8:8] !emotespells on
[6/6/2022 13:11:2] !emotespells on
[6/6/2022 13:13:10] !emotespells on
[6/6/2022 13:17:3] !emotespells on
[6/6/2022 13:20:7] !emotespells on
[6/6/2022 13:21:52] !emotespells on
[6/6/2022 13:24:12] !emotespells on
[6/6/2022 13:27:56] !emotespells on
[6/6/2022 13:31:44] !emotespells on
[6/6/2022 13:35:29] !emotespells on
[6/6/2022 13:39:10] !emotespells on
[6/6/2022 13:42:56] !emotespells on
[6/6/2022 13:47:18] !emotespells on
[6/6/2022 13:52:20] !emotespells on
[6/6/2022 13:55:54] !emotespells on
[6/6/2022 13:59:43] !emotespells on
[6/6/2022 14:3:37] !emotespells on
[6/6/2022 14:7:25] !emotespells on
[6/6/2022 14:11:9] !emotespells on
[6/6/2022 14:15:1] !emotespells on
[6/6/2022 14:19:15] !emotespells on
[6/6/2022 14:24:40] !emotespells on
[6/6/2022 14:28:28] !emotespells on
[6/6/2022 14:32:15] !emotespells on
[6/6/2022 14:35:52] !emotespells on
[6/6/2022 14:39:55] !emotespells on
[6/6/2022 14:43:37] !emotespells on
[6/6/2022 14:47:21] !emotespells on
[6/6/2022 14:51:12] !emotespells on
[6/6/2022 14:55:29] !emotespells on
[6/6/2022 14:59:10] !emotespells on
[6/6/2022 15:3:4] !emotespells on
[6/6/2022 15:7:0] !emotespells on
[6/6/2022 15:10:44] !emotespells on
[6/6/2022 15:15:16] !emotespells on
[6/6/2022 15:20:23] !emotespells on
[6/6/2022 15:21:9] !online
[6/6/2022 15:24:13] !emotespells on
[6/6/2022 15:27:57] !emotespells on
[6/6/2022 15:31:50] !emotespells on
[6/6/2022 15:35:34] !emotespells on
[6/6/2022 15:39:23] !emotespells on
[6/6/2022 15:43:10] !emotespells on
[6/6/2022 15:46:57] !emotespells on
[6/6/2022 15:50:40] !emotespells on
[6/6/2022 15:54:32] !emotespells on
[6/6/2022 15:58:18] !emotespells on
[6/6/2022 16:2:11] !emotespells on
[6/6/2022 17:12:1] !aol
[6/6/2022 17:31:18] !emotespells on
[6/6/2022 17:36:29] !emotespells on
[6/6/2022 17:40:10] !emotespells on
[6/6/2022 17:44:2] !emotespells on
[6/6/2022 17:47:48] !emotespells on
[6/6/2022 17:51:40] !emotespells on
[6/6/2022 17:55:23] !emotespells on
[6/6/2022 17:59:1] !emotespells on
[6/6/2022 18:2:52] !emotespells on
[6/6/2022 18:6:32] !emotespells on
[6/6/2022 18:10:24] !emotespells on
[6/6/2022 18:13:59] !emotespells on
[6/6/2022 18:18:3] !emotespells on
[6/6/2022 18:21:41] !emotespells on
[6/6/2022 18:25:23] !emotespells on
[6/6/2022 18:29:12] !emotespells on
[6/6/2022 18:33:2] !emotespells on
[6/6/2022 18:36:45] !emotespells on
[6/6/2022 18:40:35] !emotespells on
[6/6/2022 18:44:42] !emotespells on
[6/6/2022 18:48:34] !emotespells on
[6/6/2022 18:53:2] !emotespells on
[6/6/2022 18:57:58] !emotespells on
[6/6/2022 19:1:58] !emotespells on
[6/6/2022 19:5:43] !emotespells on
[6/6/2022 19:9:30] !emotespells on
[6/6/2022 19:13:6] !emotespells on
[6/6/2022 19:16:42] !emotespells on
[6/6/2022 19:20:24] !emotespells on
[6/6/2022 19:24:1] !emotespells on
[6/6/2022 19:27:53] !emotespells on
[6/6/2022 19:31:58] !emotespells on
[6/6/2022 19:35:41] !emotespells on
[6/6/2022 19:39:30] !emotespells on
[6/6/2022 19:43:28] !emotespells on
[6/6/2022 19:47:24] !emotespells on
[6/6/2022 19:51:5] !emotespells on
[6/6/2022 19:54:55] !emotespells on
[6/6/2022 19:58:34] !emotespells on
[6/6/2022 20:2:31] !emotespells on
[6/6/2022 20:6:13] !emotespells on
[6/6/2022 20:10:6] !emotespells on
[6/6/2022 20:14:3] !emotespells on
[6/6/2022 20:17:56] !emotespells on
[6/6/2022 20:21:31] !emotespells on
[6/6/2022 20:25:24] !emotespells on
[6/6/2022 20:29:39] !emotespells on
[6/6/2022 20:35:1] !emotespells on
[6/6/2022 20:38:48] !emotespells on
[6/6/2022 20:46:26] !emotespells on
[6/6/2022 20:49:30] !emotespells on
[6/6/2022 20:52:47] !emotespells on
[6/6/2022 20:55:59] !emotespells on
[6/6/2022 20:59:28] !emotespells on
[6/6/2022 21:2:59] !emotespells on
[6/6/2022 21:5:59] !emotespells on
[6/6/2022 21:9:21] !emotespells on
[6/6/2022 21:12:16] !emotespells on
[6/6/2022 21:15:6] !emotespells on
[6/6/2022 21:17:30] !emotespells on
[6/6/2022 21:20:22] !emotespells on
[6/6/2022 21:23:50] !emotespells on
[6/6/2022 21:26:36] !emotespells on
[6/6/2022 21:29:27] !emotespells on
[6/6/2022 22:25:26] !emotespells on
[6/6/2022 22:29:3] !emotespells on
[6/6/2022 22:32:53] !emotespells on
[6/6/2022 22:36:40] !emotespells on
[6/6/2022 22:40:25] !emotespells on
[6/6/2022 22:44:1] !emotespells on
[6/6/2022 22:47:40] !emotespells on
[6/6/2022 22:51:22] !emotespells on
[6/6/2022 22:55:16] !emotespells on
[6/6/2022 22:59:12] !emotespells on
[6/6/2022 23:3:19] !emotespells on
[6/6/2022 23:6:47] !emotespells on
[6/6/2022 23:10:34] !emotespells on
[6/6/2022 23:14:12] !emotespells on
[6/6/2022 23:18:51] !emotespells on
[6/6/2022 23:24:5] !emotespells on
[6/6/2022 23:27:55] !emotespells on
[6/6/2022 23:31:42] !emotespells on
[6/6/2022 23:35:29] !emotespells on
[6/6/2022 23:39:22] !emotespells on
[6/6/2022 23:43:17] !emotespells on
[6/6/2022 23:46:56] !emotespells on
[6/6/2022 23:50:38] !emotespells on
[6/6/2022 23:54:26] !emotespells on
[6/6/2022 23:58:10] !emotespells on
[7/6/2022 0:1:56] !emotespells on
[7/6/2022 0:5:33] !emotespells on
[7/6/2022 0:9:11] !emotespells on
[7/6/2022 0:13:6] !emotespells on
[7/6/2022 0:16:54] !emotespells on
[7/6/2022 0:20:31] !emotespells on
[7/6/2022 0:24:25] !emotespells on
[7/6/2022 0:28:13] !emotespells on
[7/6/2022 0:32:4] !emotespells on
[7/6/2022 0:35:39] !emotespells on
[7/6/2022 0:39:20] !emotespells on
[7/6/2022 0:46:24] !emotespells on
[7/6/2022 0:49:19] !emotespells on
[7/6/2022 0:52:32] !emotespells on
[7/6/2022 0:55:51] !emotespells on
[7/6/2022 0:59:24] !emotespells on
[7/6/2022 1:2:43] !emotespells on
[7/6/2022 1:5:50] !emotespells on
[7/6/2022 1:27:42] !aol
[7/6/2022 1:29:8] !emotespells on
[7/6/2022 1:32:7] !emotespells on
[7/6/2022 1:33:30] !emotespells on
[7/6/2022 1:36:8] !emotespells on
[7/6/2022 1:38:46] !emotespells on
[7/6/2022 1:42:24] !emotespells on
[7/6/2022 1:44:52] !emotespells on
[7/6/2022 1:47:28] !emotespells on
[7/6/2022 1:49:55] !emotespells on
[7/6/2022 1:52:19] !emotespells on
[7/6/2022 1:55:3] !emotespells on
[7/6/2022 1:57:35] !emotespells on
[7/6/2022 2:0:11] !emotespells on
[7/6/2022 2:3:22] !emotespells on
[7/6/2022 2:6:7] !emotespells on
[7/6/2022 2:8:40] !emotespells on
[7/6/2022 2:11:18] !emotespells on
[7/6/2022 2:13:51] !emotespells on
[7/6/2022 2:16:22] !emotespells on
[7/6/2022 2:18:41] !emotespells on
[7/6/2022 2:21:26] !emotespells on
[7/6/2022 2:24:11] !emotespells on
[7/6/2022 2:27:8] !emotespells on
[7/6/2022 2:29:42] !emotespells on
[7/6/2022 2:32:4] !emotespells on
[7/6/2022 2:34:40] !emotespells on
[7/6/2022 2:37:10] !emotespells on
[7/6/2022 2:38:55] !emotespells on
[7/6/2022 2:40:59] !emotespells on
[7/6/2022 2:44:2] !emotespells on
[7/6/2022 2:47:4] !emotespells on
[7/6/2022 2:50:43] !emotespells on
[7/6/2022 2:53:30] !emotespells on
[7/6/2022 3:14:37] !aol
[7/6/2022 3:16:8] !emotespells on
[7/6/2022 3:20:42] !emotespells on
[7/6/2022 3:24:36] !emotespells on
[7/6/2022 3:28:17] !emotespells on
[7/6/2022 3:32:4] !emotespells on
[7/6/2022 3:35:39] !emotespells on
[7/6/2022 3:38:26] !emotespells on
[7/6/2022 3:41:15] !emotespells on
[7/6/2022 3:43:40] !emotespells on
[7/6/2022 3:46:19] !emotespells on
[7/6/2022 3:48:46] !emotespells on
[7/6/2022 3:51:6] !emotespells on
[7/6/2022 3:52:27] !emotespells on
[7/6/2022 3:54:44] !emotespells on
[7/6/2022 3:56:53] !emotespells on
[7/6/2022 3:59:40] !emotespells on
[7/6/2022 4:2:13] !emotespells on
[7/6/2022 4:4:52] !emotespells on
[7/6/2022 4:7:24] !emotespells on
[7/6/2022 4:9:57] !emotespells on
[7/6/2022 4:12:48] !emotespells on
[7/6/2022 4:15:38] !emotespells on
[7/6/2022 4:18:1] !emotespells on
[7/6/2022 4:21:5] !emotespells on
[7/6/2022 4:24:20] !emotespells on
[7/6/2022 4:25:46] !emotespells on
[7/6/2022 4:28:7] !emotespells on
[7/6/2022 4:30:19] !emotespells on
[7/6/2022 5:14:24] !aol
[7/6/2022 5:15:55] !emotespells on
[7/6/2022 5:19:45] !emotespells on
[7/6/2022 5:22:7] !emotespells on
[7/6/2022 5:24:27] !emotespells on
[7/6/2022 5:27:6] !emotespells on
[7/6/2022 5:29:44] !emotespells on
[7/6/2022 5:32:26] !emotespells on
[7/6/2022 5:34:33] !emotespells on
[7/6/2022 5:37:55] !emotespells on
[7/6/2022 5:40:1] !emotespells on
[7/6/2022 5:42:34] !emotespells on
[7/6/2022 5:45:8] !emotespells on
[7/6/2022 5:47:38] !emotespells on
[7/6/2022 5:50:15] !emotespells on
[7/6/2022 5:52:38] !emotespells on
[7/6/2022 5:55:7] !emotespells on
[7/6/2022 5:57:50] !emotespells on
[7/6/2022 6:1:2] !emotespells on
[7/6/2022 6:2:29] !emotespells on
[7/6/2022 6:3:57] !emotespells on
[7/6/2022 6:6:18] !emotespells on
[7/6/2022 6:8:44] !emotespells on
[7/6/2022 6:11:6] !emotespells on
[7/6/2022 6:12:51] !emotespells on
[7/6/2022 6:15:5] !emotespells on
[7/6/2022 6:17:55] !emotespells on
[7/6/2022 6:20:35] !emotespells on
[7/6/2022 6:22:54] !emotespells on
[7/6/2022 6:25:58] !emotespells on
[7/6/2022 6:28:19] !emotespells on
[7/6/2022 6:30:47] !emotespells on
[7/6/2022 6:34:9] !emotespells on
[7/6/2022 6:37:20] !emotespells on
[7/6/2022 6:40:29] !emotespells on
[7/6/2022 6:43:7] !emotespells on
[7/6/2022 6:46:15] !emotespells on
[7/6/2022 6:49:29] !emotespells on
[7/6/2022 6:52:51] !emotespells on
[7/6/2022 6:56:18] !emotespells on
[7/6/2022 6:59:50] !emotespells on
[7/6/2022 7:2:25] !emotespells on
[7/6/2022 7:5:14] !emotespells on
[7/6/2022 7:7:21] !emotespells on
[7/6/2022 7:8:44] !emotespells on
[7/6/2022 7:11:6] !emotespells on
[7/6/2022 7:13:46] !emotespells on
[7/6/2022 7:17:5] !emotespells on
[7/6/2022 7:19:24] !emotespells on
[7/6/2022 7:22:6] !emotespells on
[7/6/2022 7:24:31] !emotespells on
[7/6/2022 7:26:59] !emotespells on
[7/6/2022 7:29:19] !emotespells on
[7/6/2022 7:31:53] !emotespells on
[7/6/2022 7:34:30] !emotespells on
[7/6/2022 7:37:10] !emotespells on
[7/6/2022 7:39:57] !emotespells on
[7/6/2022 7:42:14] !emotespells on
