[19/05/2022 13:13:51] Player: Fabio Leandro | Reward: 1x tear of daraman
[21/05/2022 11:38:30] Player: Fabio Leandro | Reward: 100x ultimate spirit potion
[21/05/2022 11:38:40] Player: Fabio Leandro | Reward: 1x pharaot boots
[21/05/2022 11:38:51] Player: Fabio Leandro | Reward: 5x diamond coin
[21/05/2022 11:39:01] Player: Fabio Leandro | Reward: 1x soulskull backpack
[21/05/2022 11:39:11] Player: Fabio Leandro | Reward: 1x soulpotter backpack
[21/05/2022 11:39:24] Player: Fabio Leandro | Reward: 1x soulpotter backpack
[21/05/2022 11:39:34] Player: Fabio Leandro | Reward: 1x stamina refil
[21/05/2022 11:39:48] Player: Juniorscripts | Reward: 10x eldritch token
[21/05/2022 11:40:09] Player: Fabio Leandro | Reward: 100x ultimate mana potion
[21/05/2022 11:40:20] Player: Fabio Leandro | Reward: 100x crystal coin
[21/05/2022 12:01:33] Player: Fabio Leandro | Reward: 100x supreme health potion
[21/05/2022 12:02:33] Player: Fabio Leandro | Reward: 100x supreme health potion
[21/05/2022 15:24:22] Player: Fabio Leandro | Reward: 1x pharaot boots
[21/05/2022 15:24:39] Player: Fabio Leandro | Reward: 100x ultimate mana potion
[21/05/2022 15:24:53] Player: Fabio Leandro | Reward: 100x supreme health potion
[21/05/2022 15:25:59] Player: Fabio Leandro | Reward: 100x ultimate spirit potion
[21/05/2022 15:26:24] Player: Fabio Leandro | Reward: 100x crystal coin
[21/05/2022 15:26:36] Player: Fabio Leandro | Reward: 100x ultimate spirit potion
[21/05/2022 15:26:46] Player: Fabio Leandro | Reward: 1x stamina refil
[22/05/2022 09:21:29] Player: Mentirinha Test | Reward: 100x supreme health potion
[22/05/2022 09:21:41] Player: Mentirinha Test | Reward: 1x soulpotter backpack
[22/05/2022 09:21:58] Player: Mentirinha Test | Reward: 100x supreme health potion
[22/05/2022 09:22:25] Player: Mentirinha Test | Reward: 100x crystal coin
[22/05/2022 10:48:59] Player: Quarenta Centimetros Mole | Reward: 100x supreme health potion
[22/05/2022 10:50:17] Player: Quarenta Centimetros Mole | Reward: 1x stamina refil
[22/05/2022 10:50:31] Player: Quarenta Centimetros Mole | Reward: 100x supreme health potion
[22/05/2022 20:25:08] Player: Porra Viado | Reward: 100x ultimate mana potion
[22/05/2022 20:25:40] Player: Porra Viado | Reward: 1x pharaot boots
[22/05/2022 20:25:56] Player: Porra Viado | Reward: 1x stamina refil
[22/05/2022 20:26:09] Player: Porra Viado | Reward: 10x eldritch token
[22/05/2022 23:38:08] Player: Fabio Leandro | Reward: 100x crystal coin
[25/05/2022 13:55:13] Player: Fabio Leandro | Reward: 100x supreme health potion
[25/05/2022 13:55:26] Player: Fabio Leandro | Reward: 1x pharaot boots
[25/05/2022 13:55:45] Player: Fabio Leandro | Reward: 5x diamond coin
[25/05/2022 13:56:01] Player: Fabio Leandro | Reward: 100x supreme health potion
[25/05/2022 13:56:11] Player: Fabio Leandro | Reward: 100x ultimate mana potion
[25/05/2022 13:56:22] Player: Fabio Leandro | Reward: 100x supreme health potion
[25/05/2022 13:56:47] Player: Fabio Leandro | Reward: 100x crystal coin
[25/05/2022 13:56:58] Player: Fabio Leandro | Reward: 5x diamond coin
[25/05/2022 13:57:09] Player: Fabio Leandro | Reward: 50x Fragmental Ticket
[25/05/2022 13:57:19] Player: Fabio Leandro | Reward: 1x stamina refil
[25/05/2022 13:57:36] Player: Fabio Leandro | Reward: 100x crystal coin
[25/05/2022 13:57:48] Player: Fabio Leandro | Reward: 100x crystal coin
[25/05/2022 21:04:00] Player: Fabio Leandro | Reward: 5x diamond coin
[25/05/2022 21:04:18] Player: Fabio Leandro | Reward: 1x pharaot boots
[25/05/2022 21:04:29] Player: Fabio Leandro | Reward: 100x supreme health potion
[25/05/2022 21:04:40] Player: Fabio Leandro | Reward: 1x soulskull backpack
[25/05/2022 21:05:09] Player: Fabio Leandro | Reward: 100x supreme health potion
[25/05/2022 21:10:32] Player: Fabio Leandro | Reward: 1x pharaot boots
[25/05/2022 21:10:42] Player: Fabio Leandro | Reward: 50x Fragmental Ticket
[25/05/2022 21:10:53] Player: Fabio Leandro | Reward: 100x ultimate spirit potion
[25/05/2022 21:11:03] Player: Fabio Leandro | Reward: 100x ultimate mana potion
[25/05/2022 21:11:14] Player: Fabio Leandro | Reward: 100x ultimate spirit potion
[25/05/2022 23:50:59] Player: Fabio Leandro | Reward: 50x Fragmental Ticket
[25/05/2022 23:51:11] Player: Fabio Leandro | Reward: 50x Fragmental Ticket
[25/05/2022 23:51:26] Player: Fabio Leandro | Reward: 100x crystal coin
[25/05/2022 23:51:37] Player: Fabio Leandro | Reward: 100x supreme health potion
[27/05/2022 21:55:27] Player: John Starbucksz | Reward: 100x ultimate spirit potion
[27/05/2022 21:56:21] Player: John Starbucksz | Reward: 100x ultimate mana potion
[27/05/2022 21:57:23] Player: John Starbucksz | Reward: 100x crystal coin
[27/05/2022 21:58:52] Player: John Starbucksz | Reward: 1x soulskull backpack
[27/05/2022 21:59:25] Player: John Starbucksz | Reward: 1x soulpotter backpack
[27/05/2022 22:01:02] Player: John Starbucksz | Reward: 100x ultimate mana potion
[27/05/2022 22:02:01] Player: John Starbucksz | Reward: 5x diamond coin
[27/05/2022 22:03:22] Player: John Starbucksz | Reward: 100x supreme health potion
[27/05/2022 22:44:36] Player: Support | Reward: 1x stamina refil
[27/05/2022 22:45:29] Player: Support | Reward: 100x ultimate spirit potion
[27/05/2022 22:46:01] Player: Support | Reward: 1x soulpotter backpack
[27/05/2022 22:47:09] Player: Support | Reward: 100x ultimate mana potion
[27/05/2022 22:48:15] Player: Support | Reward: 100x ultimate mana potion
[27/05/2022 22:49:05] Player: Support | Reward: 100x ultimate spirit potion
[27/05/2022 22:50:32] Player: Support | Reward: 50x fragmental ticket
[27/05/2022 22:51:36] Player: Support | Reward: 1x stamina refil
[27/05/2022 22:52:30] Player: Support | Reward: 100x ultimate mana potion
[27/05/2022 22:53:00] Player: Support | Reward: 1x pharaot boots
[27/05/2022 22:53:30] Player: Support | Reward: 1x soulskull backpack
[27/05/2022 22:54:29] Player: Support | Reward: 5x diamond coin
[27/05/2022 22:55:00] Player: Support | Reward: 5x diamond coin
[27/05/2022 22:56:22] Player: Support | Reward: 50x fragmental ticket
[27/05/2022 22:56:37] Player: Support | Reward: 100x crystal coin
[27/05/2022 22:57:31] Player: Support | Reward: 100x ultimate mana potion
[27/05/2022 22:57:44] Player: Support | Reward: 100x supreme health potion
[27/05/2022 22:58:39] Player: Support | Reward: 100x supreme health potion
[28/05/2022 16:22:10] Player: Toq Prajudar | Reward: 1x stamina refil
[29/05/2022 15:30:38] Player: Gordiinho Analista | Reward: 100x crystal coin
[29/05/2022 15:30:58] Player: Gordiinho Analista | Reward: 5x diamond coin
[29/05/2022 15:31:35] Player: Gordiinho Analista | Reward: 100x ultimate mana potion
[29/05/2022 15:31:48] Player: Gordiinho Analista | Reward: 1x soulpotter backpack
[29/05/2022 15:32:23] Player: Gordiinho Analista | Reward: 100x ultimate mana potion
[29/05/2022 15:32:35] Player: Gordiinho Analista | Reward: 5x diamond coin
[29/05/2022 15:32:46] Player: Gordiinho Analista | Reward: 10x eldritch token
[29/05/2022 15:35:20] Player: Gordiinho Analista | Reward: 10x eldritch token
[29/05/2022 15:35:32] Player: Gordiinho Analista | Reward: 50x fragmental ticket
[29/05/2022 15:36:26] Player: Gordiinho Analista | Reward: 100x supreme health potion
[29/05/2022 15:36:39] Player: Gordiinho Analista | Reward: 100x ultimate mana potion
[29/05/2022 15:36:54] Player: Gordiinho Analista | Reward: 5x diamond coin
[29/05/2022 15:37:28] Player: Gordiinho Analista | Reward: 5x diamond coin
[29/05/2022 15:37:39] Player: Gordiinho Analista | Reward: 50x fragmental ticket
[29/05/2022 15:38:26] Player: Gordiinho Analista | Reward: 100x ultimate mana potion
[29/05/2022 15:38:38] Player: Gordiinho Analista | Reward: 100x supreme health potion
[29/05/2022 15:38:50] Player: Gordiinho Analista | Reward: 10x eldritch token
[29/05/2022 22:47:08] Player: Baiano | Reward: 100x ultimate spirit potion
[29/05/2022 22:47:55] Player: Baiano | Reward: 100x supreme health potion
[29/05/2022 22:48:06] Player: Baiano | Reward: 5x diamond coin
[29/05/2022 22:48:56] Player: Baiano | Reward: 1x pharaot boots
[29/05/2022 22:49:07] Player: Baiano | Reward: 5x diamond coin
[29/05/2022 22:49:18] Player: Baiano | Reward: 1x pharaot boots
[29/05/2022 22:49:29] Player: Baiano | Reward: 100x ultimate spirit potion
[29/05/2022 22:50:28] Player: Baiano | Reward: 10x eldritch token
[30/05/2022 07:47:20] Player: Gordiinho Analista | Reward: 1x soulskull backpack
[30/05/2022 07:47:33] Player: Gordiinho Analista | Reward: 100x ultimate mana potion
[30/05/2022 07:47:52] Player: Gordiinho Analista | Reward: 100x ultimate mana potion
[30/05/2022 07:48:04] Player: Gordiinho Analista | Reward: 1x soulpotter backpack
[30/05/2022 07:48:16] Player: Gordiinho Analista | Reward: 5x diamond coin
[30/05/2022 07:48:27] Player: Gordiinho Analista | Reward: 100x supreme health potion
[30/05/2022 07:48:37] Player: Gordiinho Analista | Reward: 10x eldritch token
[30/05/2022 07:48:48] Player: Gordiinho Analista | Reward: 50x fragmental ticket
[30/05/2022 07:49:00] Player: Gordiinho Analista | Reward: 100x ultimate spirit potion
[30/05/2022 07:49:15] Player: Gordiinho Analista | Reward: 100x ultimate mana potion
[31/05/2022 19:57:20] Player: John Starbucksz | Reward: 100x supreme health potion
[31/05/2022 20:00:53] Player: John Starbucksz | Reward: 1x soulskull backpack
[31/05/2022 20:01:42] Player: John Starbucksz | Reward: 1x addon doll
[31/05/2022 20:03:01] Player: John Starbucksz | Reward: 100x crystal coin
[31/05/2022 20:03:12] Player: John Starbucksz | Reward: 100x supreme health potion
[31/05/2022 20:03:35] Player: John Starbucksz | Reward: 1x stamina refil
[31/05/2022 20:04:22] Player: John Starbucksz | Reward: 100x ultimate spirit potion
[31/05/2022 20:04:37] Player: John Starbucksz | Reward: 1x soulpotter backpack
[31/05/2022 20:05:37] Player: John Starbucksz | Reward: 100x ultimate mana potion
[31/05/2022 20:05:56] Player: John Starbucksz | Reward: 100x ultimate mana potion
[31/05/2022 20:06:33] Player: John Starbucksz | Reward: 10x eldritch token
[31/05/2022 20:07:16] Player: John Starbucksz | Reward: 10x eldritch token
[31/05/2022 20:08:05] Player: John Starbucksz | Reward: 1x pharaot boots
[31/05/2022 20:08:18] Player: John Starbucksz | Reward: 1x soulpotter backpack
[31/05/2022 20:08:29] Player: John Starbucksz | Reward: 100x ultimate spirit potion
[31/05/2022 20:09:27] Player: John Starbucksz | Reward: 1x pharaot boots
[31/05/2022 20:09:40] Player: John Starbucksz | Reward: 1x soulskull backpack
[31/05/2022 20:10:35] Player: John Starbucksz | Reward: 100x ultimate spirit potion
[31/05/2022 20:11:37] Player: John Starbucksz | Reward: 100x ultimate spirit potion
[31/05/2022 20:12:10] Player: John Starbucksz | Reward: 100x ultimate spirit potion
[31/05/2022 20:13:24] Player: John Starbucksz | Reward: 100x ultimate mana potion
[31/05/2022 20:13:37] Player: John Starbucksz | Reward: 5x diamond coin
[31/05/2022 20:14:52] Player: John Starbucksz | Reward: 100x ultimate mana potion
[31/05/2022 20:15:05] Player: John Starbucksz | Reward: 50x fragmental ticket
[31/05/2022 20:16:33] Player: John Starbucksz | Reward: 100x ultimate spirit potion
[31/05/2022 20:16:52] Player: John Starbucksz | Reward: 100x supreme health potion
[31/05/2022 20:19:22] Player: John Starbucksz | Reward: 10x eldritch token
[31/05/2022 20:19:35] Player: John Starbucksz | Reward: 1x soulskull backpack
[31/05/2022 20:20:33] Player: John Starbucksz | Reward: 5x diamond coin
[31/05/2022 20:21:09] Player: John Starbucksz | Reward: 50x fragmental ticket
[31/05/2022 20:21:22] Player: John Starbucksz | Reward: 100x ultimate spirit potion
[31/05/2022 20:21:36] Player: John Starbucksz | Reward: 1x soulpotter backpack
[31/05/2022 20:22:39] Player: John Starbucksz | Reward: 100x crystal coin
[31/05/2022 20:23:21] Player: John Starbucksz | Reward: 100x supreme health potion
[31/05/2022 20:23:32] Player: John Starbucksz | Reward: 100x supreme health potion
[31/05/2022 20:23:47] Player: John Starbucksz | Reward: 1x soulskull backpack
[31/05/2022 20:24:29] Player: John Starbucksz | Reward: 100x crystal coin
[31/05/2022 20:24:55] Player: John Starbucksz | Reward: 1x soulskull backpack
[31/05/2022 20:27:24] Player: John Starbucksz | Reward: 10x eldritch token
[31/05/2022 20:27:35] Player: John Starbucksz | Reward: 1x soulpotter backpack
[31/05/2022 20:28:23] Player: John Starbucksz | Reward: 1x soulpotter backpack
[31/05/2022 20:28:34] Player: John Starbucksz | Reward: 100x ultimate mana potion
[31/05/2022 20:29:25] Player: John Starbucksz | Reward: 1x stamina refil
[31/05/2022 20:29:37] Player: John Starbucksz | Reward: 1x soulpotter backpack
[31/05/2022 20:55:17] Player: John Starbucksz | Reward: 1x stamina refil
[31/05/2022 20:55:28] Player: John Starbucksz | Reward: 100x ultimate spirit potion
[31/05/2022 20:55:41] Player: John Starbucksz | Reward: 1x stamina refil
[31/05/2022 20:57:24] Player: John Starbucksz | Reward: 1x pharaot boots
[31/05/2022 20:57:35] Player: John Starbucksz | Reward: 1x soulskull backpack
[31/05/2022 20:57:46] Player: John Starbucksz | Reward: 100x supreme health potion
[31/05/2022 20:58:18] Player: John Starbucksz | Reward: 100x ultimate mana potion
[31/05/2022 20:59:27] Player: John Starbucksz | Reward: 10x eldritch token
[31/05/2022 20:59:38] Player: John Starbucksz | Reward: 100x supreme health potion
[31/05/2022 20:59:55] Player: John Starbucksz | Reward: 100x ultimate spirit potion
[31/05/2022 21:00:08] Player: John Starbucksz | Reward: 50x fragmental ticket
[31/05/2022 21:01:01] Player: John Starbucksz | Reward: 1x addon doll
[31/05/2022 21:02:38] Player: John Starbucksz | Reward: 50x fragmental ticket
[31/05/2022 21:02:51] Player: John Starbucksz | Reward: 100x crystal coin
[31/05/2022 21:03:27] Player: John Starbucksz | Reward: 10x eldritch token
[31/05/2022 21:04:46] Player: John Starbucksz | Reward: 50x fragmental ticket
[31/05/2022 21:04:57] Player: John Starbucksz | Reward: 100x ultimate mana potion
[31/05/2022 21:05:49] Player: John Starbucksz | Reward: 100x supreme health potion
[31/05/2022 21:06:00] Player: John Starbucksz | Reward: 5x diamond coin
[31/05/2022 21:07:05] Player: John Starbucksz | Reward: 100x ultimate spirit potion
[31/05/2022 21:07:52] Player: John Starbucksz | Reward: 100x supreme health potion
[31/05/2022 21:08:05] Player: John Starbucksz | Reward: 5x diamond coin
[31/05/2022 21:08:56] Player: John Starbucksz | Reward: 100x ultimate spirit potion
[31/05/2022 21:09:07] Player: John Starbucksz | Reward: 100x crystal coin
[31/05/2022 21:42:48] Player: John Starbucksz | Reward: 100x ultimate mana potion
[31/05/2022 21:43:01] Player: John Starbucksz | Reward: 100x ultimate spirit potion
[31/05/2022 21:43:29] Player: John Starbucksz | Reward: 1x pharaot boots
[31/05/2022 21:43:40] Player: John Starbucksz | Reward: 5x diamond coin
[31/05/2022 21:45:29] Player: John Starbucksz | Reward: 1x pharaot boots
[31/05/2022 21:45:41] Player: John Starbucksz | Reward: 100x ultimate spirit potion
[31/05/2022 21:45:54] Player: John Starbucksz | Reward: 100x ultimate mana potion
[31/05/2022 21:46:40] Player: John Starbucksz | Reward: 100x ultimate mana potion
[31/05/2022 21:47:44] Player: John Starbucksz | Reward: 1x stamina refil
[31/05/2022 21:47:56] Player: John Starbucksz | Reward: 1x soulskull backpack
[31/05/2022 21:48:07] Player: John Starbucksz | Reward: 1x ferumbras' hat
[31/05/2022 22:37:04] Player: Urdd | Reward: 10x eldritch token
[31/05/2022 22:38:02] Player: Urdd | Reward: 100x supreme health potion
[31/05/2022 22:38:18] Player: Urdd | Reward: 10x eldritch token
[31/05/2022 22:38:41] Player: Urdd | Reward: 100x ultimate mana potion
[31/05/2022 22:39:07] Player: Urdd | Reward: 1x pharaot boots
[31/05/2022 22:39:25] Player: Urdd | Reward: 100x ultimate spirit potion
[31/05/2022 22:39:41] Player: Urdd | Reward: 10x eldritch token
[31/05/2022 22:39:55] Player: Urdd | Reward: 1x pharaot boots
[31/05/2022 22:40:25] Player: Urdd | Reward: 100x supreme health potion
[31/05/2022 22:40:50] Player: Urdd | Reward: 100x supreme health potion
[31/05/2022 22:41:02] Player: Urdd | Reward: 1x pharaot boots
[31/05/2022 22:41:19] Player: Urdd | Reward: 1x addon doll
[31/05/2022 22:42:05] Player: Urdd | Reward: 100x crystal coin
[31/05/2022 22:42:56] Player: Urdd | Reward: 100x supreme health potion
[31/05/2022 22:43:10] Player: Urdd | Reward: 100x crystal coin
[31/05/2022 22:43:24] Player: Urdd | Reward: 100x crystal coin
[31/05/2022 22:43:36] Player: Urdd | Reward: 1x pharaot boots
[31/05/2022 22:43:47] Player: Urdd | Reward: 1x pharaot boots
[31/05/2022 22:44:36] Player: Urdd | Reward: 100x crystal coin
[31/05/2022 22:44:47] Player: Urdd | Reward: 5x diamond coin
[31/05/2022 22:46:04] Player: Urdd | Reward: 100x ultimate mana potion
[31/05/2022 22:46:17] Player: Urdd | Reward: 50x fragmental ticket
[31/05/2022 22:46:30] Player: Urdd | Reward: 100x supreme health potion
[31/05/2022 22:46:42] Player: Urdd | Reward: 100x ultimate mana potion
[31/05/2022 22:46:53] Player: Urdd | Reward: 100x ultimate mana potion
[31/05/2022 23:31:23] Player: Pedroza Skillking | Reward: 50x fragmental ticket
[31/05/2022 23:32:39] Player: Pedroza Skillking | Reward: 100x ultimate mana potion
[31/05/2022 23:47:46] Player: John Starbucksz | Reward: 5x diamond coin
[31/05/2022 23:48:42] Player: John Starbucksz | Reward: 1x soulpotter backpack
[31/05/2022 23:50:12] Player: John Starbucksz | Reward: 50x fragmental ticket
[31/05/2022 23:50:48] Player: John Starbucksz | Reward: 100x supreme health potion
[01/06/2022 00:06:19] Player: Sir Zughy | Reward: 5x diamond coin
[01/06/2022 00:06:33] Player: Sir Zughy | Reward: 100x crystal coin
[01/06/2022 00:06:48] Player: Sir Zughy | Reward: 100x ultimate mana potion
[01/06/2022 00:07:53] Player: Sir Zughy | Reward: 100x ultimate spirit potion
[01/06/2022 00:08:18] Player: Hoo Win | Reward: 1x pharaot boots
[01/06/2022 00:08:47] Player: Sir Zughy | Reward: 100x ultimate mana potion
[01/06/2022 00:08:58] Player: Sir Zughy | Reward: 50x fragmental ticket
[01/06/2022 00:09:51] Player: Sir Zughy | Reward: 5x diamond coin
[01/06/2022 00:10:03] Player: Sir Zughy | Reward: 1x soulpotter backpack
[01/06/2022 00:10:22] Player: Hoo Win | Reward: 100x ultimate mana potion
[01/06/2022 00:11:16] Player: Sir Zughy | Reward: 10x eldritch token
[01/06/2022 00:11:47] Player: Sir Zughy | Reward: 100x supreme health potion
[01/06/2022 00:12:17] Player: Sir Zughy | Reward: 1x pharaot boots
[01/06/2022 00:12:50] Player: Sir Zughy | Reward: 100x ultimate spirit potion
[01/06/2022 00:13:16] Player: Sir Zughy | Reward: 50x fragmental ticket
[01/06/2022 00:13:53] Player: Sir Zughy | Reward: 100x ultimate spirit potion
[01/06/2022 00:19:32] Player: Sir Zughy | Reward: 100x supreme health potion
[01/06/2022 00:19:47] Player: Sir Zughy | Reward: 10x eldritch token
[01/06/2022 00:20:02] Player: Sir Zughy | Reward: 50x fragmental ticket
[01/06/2022 00:20:13] Player: Sir Zughy | Reward: 1x soulpotter backpack
[01/06/2022 00:20:28] Player: Sir Zughy | Reward: 100x crystal coin
[01/06/2022 00:20:39] Player: Sir Zughy | Reward: 100x crystal coin
[01/06/2022 00:20:49] Player: Sir Zughy | Reward: 100x ultimate spirit potion
[01/06/2022 00:21:24] Player: Sir Zughy | Reward: 100x crystal coin
[01/06/2022 00:21:54] Player: Sir Zughy | Reward: 100x ultimate mana potion
[01/06/2022 00:22:05] Player: Sir Zughy | Reward: 1x pharaot boots
[01/06/2022 00:22:18] Player: Sir Zughy | Reward: 1x pharaot boots
[01/06/2022 00:22:29] Player: Sir Zughy | Reward: 100x crystal coin
[01/06/2022 00:43:03] Player: Loki De Asgard | Reward: 100x ultimate mana potion
[01/06/2022 00:43:54] Player: Loki De Asgard | Reward: 100x supreme health potion
[01/06/2022 00:45:16] Player: Loki De Asgard | Reward: 100x ultimate spirit potion
[01/06/2022 00:46:08] Player: Loki De Asgard | Reward: 1x stamina refil
[01/06/2022 00:48:53] Player: Loki De Asgard | Reward: 100x crystal coin
[01/06/2022 00:49:24] Player: Loki De Asgard | Reward: 1x stamina refil
[01/06/2022 01:02:56] Player: Loki De Asgard | Reward: 5x diamond coin
[01/06/2022 01:03:26] Player: Loki De Asgard | Reward: 100x supreme health potion
[01/06/2022 01:03:55] Player: Loki De Asgard | Reward: 50x fragmental ticket
[01/06/2022 01:04:26] Player: Loki De Asgard | Reward: 100x ultimate mana potion
[01/06/2022 03:11:51] Player: Loki De Asgard | Reward: 5x diamond coin
[01/06/2022 11:55:22] Player: Powpay | Reward: 1x soulskull backpack
[01/06/2022 12:12:59] Player: Dedex Pvpzin | Reward: 5x diamond coin
[01/06/2022 19:54:03] Player: Jon Jon | Reward: 100x supreme health potion
[01/06/2022 19:55:06] Player: Jon Jon | Reward: 100x ultimate spirit potion
[01/06/2022 19:56:08] Player: Loki De Asgard | Reward: 100x ultimate mana potion
[01/06/2022 19:57:03] Player: Jon Jon | Reward: 100x ultimate mana potion
[01/06/2022 19:57:34] Player: Jon Jon | Reward: 1x stamina refil
[01/06/2022 19:58:04] Player: Jon Jon | Reward: 1x pharaot boots
[01/06/2022 19:59:03] Player: Jon Jon | Reward: 5x diamond coin
[01/06/2022 20:00:04] Player: Jon Jon | Reward: 100x ultimate spirit potion
[01/06/2022 20:01:03] Player: Jon Jon | Reward: 100x supreme health potion
[01/06/2022 20:01:34] Player: Jon Jon | Reward: 1x pharaot boots
[01/06/2022 20:02:05] Player: Jon Jon | Reward: 100x supreme health potion
[01/06/2022 20:02:34] Player: Jon Jon | Reward: 1x addon doll
[02/06/2022 01:38:11] Player: Jon Jon | Reward: 1x soulskull backpack
[02/06/2022 01:39:23] Player: Jon Jon | Reward: 50x fragmental ticket
[02/06/2022 01:40:49] Player: Jon Jon | Reward: 100x supreme health potion
[02/06/2022 01:51:18] Player: Jon Jon | Reward: 100x ultimate mana potion
[02/06/2022 01:56:58] Player: Jon Jon | Reward: 50x fragmental ticket
[02/06/2022 01:57:09] Player: Jon Jon | Reward: 1x soulskull backpack
[02/06/2022 01:58:16] Player: Victinhox | Reward: 1x addon doll
